ID,Year,M,D,H,1,2,sum,sump
0131-002,2011,1,23,13,522,459,981,1117
0131-002,2011,1,23,14,618,579,1197,981
0131-002,2011,1,23,15,676,620,1296,1197
0131-002,2011,1,23,16,682,616,1298,1296
0131-002,2011,1,23,17,636,595,1231,1298
0131-002,2011,1,23,18,684,654,1338,1231
0131-002,2011,1,23,19,691,709,1400,1338
0131-002,2011,1,23,20,530,506,1036,1400
0131-002,2011,1,23,21,464,412,876,1036
0131-002,2011,1,23,22,453,373,826,876
0131-002,2011,1,23,23,337,234,571,826
0131-002,2011,1,23,24,260,181,441,571
0131-002,2011,1,24,1,194,141,335,441
0131-002,2011,1,24,2,147,120,267,335
0131-002,2011,1,24,3,90,74,164,267
0131-002,2011,1,24,4,81,84,165,164
0131-002,2011,1,24,5,81,92,173,165
0131-002,2011,1,24,6,122,150,272,173
0131-002,2011,1,24,7,280,245,525,272
0131-002,2011,1,24,8,751,562,1313,525
0131-002,2011,1,24,9,815,772,1587,1313
0131-002,2011,1,24,10,656,709,1365,1587
0131-002,2011,1,24,11,719,728,1447,1365
0131-002,2011,1,24,12,693,674,1367,1447
0131-002,2011,1,24,13,596,575,1171,1367
0131-002,2011,1,24,14,758,785,1543,1171
0131-002,2011,1,24,15,793,810,1603,1543
0131-002,2011,1,24,16,812,793,1605,1603
0131-002,2011,1,24,17,799,802,1601,1605
0131-002,2011,1,24,18,886,1005,1891,1601
0131-002,2011,1,24,19,829,1028,1857,1891
0131-002,2011,1,24,20,847,1006,1853,1857
0131-002,2011,1,24,21,695,738,1433,1853
0131-002,2011,1,24,22,536,496,1032,1433
0131-002,2011,1,24,23,436,344,780,1032
0131-002,2011,1,24,24,308,227,535,780
0131-002,2011,1,25,1,358,270,628,535
0131-002,2011,1,25,2,230,183,413,628
0131-002,2011,1,25,3,186,131,317,413
0131-002,2011,1,25,4,161,135,296,317
0131-002,2011,1,25,5,117,128,245,296
0131-002,2011,1,25,6,164,179,343,245
0131-002,2011,1,25,7,292,249,541,343
0131-002,2011,1,25,8,444,368,812,541
0131-002,2011,1,25,9,543,527,1070,812
0131-002,2011,1,25,10,649,602,1251,1070
0131-002,2011,1,25,11,839,856,1695,1251
0131-002,2011,1,25,12,848,871,1719,1695
0131-002,2011,1,25,13,940,1076,2016,1719
0131-002,2011,1,25,14,1083,1242,2325,2016
0131-002,2011,1,25,15,1086,1261,2347,2325
0131-002,2011,1,25,16,1098,1196,2294,2347
0131-002,2011,1,25,17,1032,1166,2198,2294
0131-002,2011,1,25,18,913,955,1868,2198
0131-002,2011,1,25,19,411,492,903,1868
0131-002,2011,1,25,20,422,413,835,903
0131-002,2011,1,25,21,426,346,772,835
0131-002,2011,1,25,22,381,346,727,772
0131-002,2011,1,25,23,269,190,459,727
