ID,Year,M,D,H,1,2
0130-001,2011,01,24,01,155,166
0130-001,2011,01,24,02,109,134
0130-001,2011,01,24,03,73,83
0130-001,2011,01,24,04,72,67
0130-001,2011,01,24,05,86,89
0130-001,2011,01,24,06,167,195
0130-001,2011,01,24,07,410,488
0130-001,2011,01,24,08,1504,648
0130-001,2011,01,24,09,1745,830
0130-001,2011,01,24,10,1332,867
0130-001,2011,01,24,11,1400,1789
0130-001,2011,01,24,12,1137,1202
0130-001,2011,01,24,13,1072,1126
0130-001,2011,01,24,14,1234,1004
0130-001,2011,01,24,15,1481,1290
0130-001,2011,01,24,16,1499,1175
0130-001,2011,01,24,17,1363,1118
0130-001,2011,01,24,18,1501,1228
0130-001,2011,01,24,19,1562,1276
0130-001,2011,01,24,20,1179,1093
0130-001,2011,01,24,21,950,1007
0130-001,2011,01,24,22,865,1015
0130-001,2011,01,24,23,588,714
0130-001,2011,01,24,24,369,454
0130-001,2011,01,25,01,294,297
0130-001,2011,01,25,02,164,181
0130-001,2011,01,25,03,120,104
0130-001,2011,01,25,04,126,130
0130-001,2011,01,25,05,128,153
0130-001,2011,01,25,06,226,274
0130-001,2011,01,25,07,555,715
0130-001,2011,01,25,08,1347,1467
0130-001,2011,01,25,09,1562,1745
0130-001,2011,01,25,10,1344,1526
0130-001,2011,01,25,11,1473,1594
0130-001,2011,01,25,12,1420,1405
0130-001,2011,01,25,13,1343,1092
0130-001,2011,01,25,14,1492,1232
0130-001,2011,01,25,15,1690,1430
0130-001,2011,01,25,16,1592,1480
0130-001,2011,01,25,17,1504,1254
0130-001,2011,01,25,18,1616,1495
0130-001,2011,01,25,19,1725,1786
0130-001,2011,01,25,20,1362,1269
0130-001,2011,01,25,21,1180,997
0130-001,2011,01,25,22,1137,957
0130-001,2011,01,25,23,738,691
0130-001,2011,01,25,24,412,431
0130-001,2011,01,26,01,281,358
0130-001,2011,01,26,02,252,300
0130-001,2011,01,26,03,158,175
0130-001,2011,01,26,04,125,142
0130-001,2011,01,26,05,158,196
0130-001,2011,01,26,06,236,261
0130-001,2011,01,26,07,575,610
0130-001,2011,01,26,08,1436,1655
0130-001,2011,01,26,09,1630,1309
0130-001,2011,01,26,10,1477,1339
0130-001,2011,01,26,11,1494,1595
0130-001,2011,01,26,12,1493,1519
0130-001,2011,01,26,13,1361,1458
0130-001,2011,01,26,14,1572,1788
0130-001,2011,01,26,15,1675,1842
0130-001,2011,01,26,16,1731,1630
0130-001,2011,01,26,17,1615,1427
0130-001,2011,01,26,18,1672,1256
0130-001,2011,01,26,19,1881,1560
0130-001,2011,01,26,20,1429,1603
0130-001,2011,01,26,21,1191,1259
0130-001,2011,01,26,22,1072,1238
0130-001,2011,01,26,23,723,744
0130-001,2011,01,26,24,539,626
0130-001,2011,01,27,01,313,349
0130-001,2011,01,27,02,191,161
0130-001,2011,01,27,03,196,152
0130-001,2011,01,27,04,126,118
0130-001,2011,01,27,05,165,148
0130-001,2011,01,27,06,245,283
0130-001,2011,01,27,07,549,672
0130-001,2011,01,27,08,1469,1589
0130-001,2011,01,27,09,1648,1634
0130-001,2011,01,27,10,1420,1474
0130-001,2011,01,27,11,1461,1546
0130-001,2011,01,27,12,1528,1713
0130-001,2011,01,27,13,1387,1163
0130-001,2011,01,27,14,1648,1351
0130-001,2011,01,27,15,1682,1367
0130-001,2011,01,27,16,1488,1086
0130-001,2011,01,27,17,1540,1118
0130-001,2011,01,27,18,1764,1141
0130-001,2011,01,27,19,1788,1452
0130-001,2011,01,27,20,1376,1249
0130-001,2011,01,27,21,1251,910
0130-001,2011,01,27,22,1109,1286
0130-001,2011,01,27,23,816,904
0130-001,2011,01,27,24,531,569
0130-001,2011,01,28,01,367,389
0130-001,2011,01,28,02,249,283
0130-001,2011,01,28,03,157,169
