Date,Weekday,Time,Traffic
2014-01-23,5 ,11,1765
2014-01-23,5 ,12,1679
2014-01-23,5 ,13,1703
2014-01-23,5 ,14,1604
2014-01-23,5 ,15,2154
2014-01-23,5 ,16,2065
2014-01-23,5 ,17,2308
2014-01-23,5 ,18,2313
2014-01-23,5 ,19,1866
2014-01-23,5 ,20,1364
2014-01-23,5 ,21,1187
2014-01-23,5 ,22,876
2014-01-23,5 ,23,624
2014-01-24,6 ,0,501
2014-01-24,6 ,1,319
2014-01-24,6 ,2,267
2014-01-24,6 ,3,215
2014-01-24,6 ,4,218
2014-01-24,6 ,5,340
2014-01-24,6 ,6,608
2014-01-24,6 ,7,1323
2014-01-24,6 ,8,1730
2014-01-24,6 ,9,1651
2014-01-24,6 ,10,1827
2014-01-24,6 ,11,1741
2014-01-24,6 ,12,1711
2014-01-24,6 ,13,1962
2014-01-24,6 ,14,2128
2014-01-24,6 ,15,2244
2014-01-24,6 ,16,2223
2014-01-24,6 ,17,2197
2014-01-24,6 ,18,2062
2014-01-24,6 ,19,2165
2014-01-24,6 ,20,1626
2014-01-24,6 ,21,1363
2014-01-24,6 ,22,948
2014-01-24,6 ,23,703
2014-01-25,7 ,0,544
2014-01-25,7 ,1,512
2014-01-25,7 ,2,529
2014-01-25,7 ,3,448
2014-01-25,7 ,4,373
2014-01-25,7 ,5,336
2014-01-25,7 ,6,526
2014-01-25,7 ,7,806
2014-01-25,7 ,8,1326
2014-01-25,7 ,9,1512
2014-01-25,7 ,10,1694
2014-01-25,7 ,11,1776
2014-01-25,7 ,12,1947
2014-01-25,7 ,13,1951
2014-01-25,7 ,14,1916
2014-01-25,7 ,15,2122
2014-01-25,7 ,16,2066
2014-01-25,7 ,17,2163
2014-01-25,7 ,18,1814
2014-01-25,7 ,19,1388
2014-01-25,7 ,20,1044
2014-01-25,7 ,21,1015
2014-01-25,7 ,22,672
2014-01-25,7 ,23,525
2014-01-26,1 ,0,326
2014-01-26,1 ,1,282
2014-01-26,1 ,2,286
2014-01-26,1 ,3,236
2014-01-26,1 ,4,158
2014-01-26,1 ,5,197
2014-01-26,1 ,6,298
2014-01-26,1 ,7,426
2014-01-26,1 ,8,706
2014-01-26,1 ,9,1051
2014-01-26,1 ,10,1298
2014-01-26,1 ,11,1351
2014-01-26,1 ,12,1655
2014-01-26,1 ,13,1918
2014-01-26,1 ,14,2042
2014-01-26,1 ,15,2077
2014-01-26,1 ,16,2222
2014-01-26,1 ,17,2130
2014-01-26,1 ,18,1809
2014-01-26,1 ,19,1405
2014-01-26,1 ,20,1071
2014-01-26,1 ,21,1086
2014-01-26,1 ,22,696
2014-01-26,1 ,23,505
2014-01-27,2 ,0,354
2014-01-27,2 ,1,255
2014-01-27,2 ,2,189
2014-01-27,2 ,3,196
2014-01-27,2 ,4,188
2014-01-27,2 ,5,347
2014-01-27,2 ,6,655
2014-01-27,2 ,7,1469
2014-01-27,2 ,8,1723
2014-01-27,2 ,9,1667
2014-01-27,2 ,10,1876
2014-01-27,2 ,11,1846
2014-01-27,2 ,12,1810
2014-01-27,2 ,13,2076
2014-01-27,2 ,14,2130
2014-01-27,2 ,15,2292
2014-01-27,2 ,16,2181
2014-01-27,2 ,17,2183
2014-01-27,2 ,18,2202
2014-01-27,2 ,19,2010
2014-01-27,2 ,20,1475
2014-01-27,2 ,21,1269
2014-01-27,2 ,22,828
2014-01-27,2 ,23,577
2014-01-28,3 ,0,466
2014-01-28,3 ,1,315
2014-01-28,3 ,2,245
2014-01-28,3 ,3,209
2014-01-28,3 ,4,210
2014-01-28,3 ,5,345
2014-01-28,3 ,6,657
2014-01-28,3 ,7,1299
2014-01-28,3 ,8,1658
2014-01-28,3 ,9,1697
2014-01-28,3 ,10,1919
2014-01-28,3 ,11,1877
2014-01-28,3 ,12,1848
2014-01-28,3 ,13,2001
2014-01-28,3 ,14,2150
2014-01-28,3 ,15,2238
2014-01-28,3 ,16,2301
2014-01-28,3 ,17,2367
2014-01-28,3 ,18,2293
2014-01-28,3 ,19,2025
2014-01-28,3 ,20,1435
2014-01-28,3 ,21,1368
2014-01-28,3 ,22,899
2014-01-28,3 ,23,681
2014-01-29,4 ,0,507
2014-01-29,4 ,1,350
2014-01-29,4 ,2,290
2014-01-29,4 ,3,269
2014-01-29,4 ,4,237
2014-01-29,4 ,5,331
2014-01-29,4 ,6,578
2014-01-29,4 ,7,1234
2014-01-29,4 ,8,1625
2014-01-29,4 ,9,1595
2014-01-29,4 ,10,1721
2014-01-29,4 ,11,1755
2014-01-29,4 ,12,1828
2014-01-29,4 ,13,2062
2014-01-29,4 ,14,2089
2014-01-29,4 ,15,2247
2014-01-29,4 ,16,2309
2014-01-29,4 ,17,2232
2014-01-29,4 ,18,2092
2014-01-29,4 ,19,1548
2014-01-29,4 ,20,1303
2014-01-29,4 ,21,1107
2014-01-29,4 ,22,793
2014-01-29,4 ,23,616
2014-01-30,5 ,0,492
2014-01-30,5 ,1,362
2014-01-30,5 ,2,366
2014-01-30,5 ,3,354
2014-01-30,5 ,4,240
2014-01-30,5 ,5,230
2014-01-30,5 ,6,260
2014-01-30,5 ,7,328
2014-01-30,5 ,8,552
2014-01-30,5 ,9,855
2014-01-30,5 ,10,1197
2014-01-30,5 ,11,1358
2014-01-30,5 ,12,1270
2014-01-30,5 ,13,1306
2014-01-30,5 ,14,1352
2014-01-30,5 ,15,1250
2014-01-30,5 ,16,1317
2014-01-30,5 ,17,1230
2014-01-30,5 ,18,1126
2014-01-30,5 ,19,892
2014-01-30,5 ,20,730
2014-01-30,5 ,21,630
2014-01-30,5 ,22,458
2014-01-30,5 ,23,351
2014-01-31,6 ,0,242
2014-01-31,6 ,1,150
2014-01-31,6 ,2,147
2014-01-31,6 ,3,103
2014-01-31,6 ,4,78
2014-01-31,6 ,5,144
2014-01-31,6 ,6,414
2014-01-31,6 ,7,844
2014-01-31,6 ,8,831
2014-01-31,6 ,9,735
2014-01-31,6 ,10,1373
2014-01-31,6 ,11,2040
2014-01-31,6 ,12,2358
2014-01-31,6 ,13,2312
2014-01-31,6 ,14,2228
2014-01-31,6 ,15,2134
2014-01-31,6 ,16,2074
2014-01-31,6 ,17,2281
2014-01-31,6 ,18,2191
2014-01-31,6 ,19,1688
2014-01-31,6 ,20,1453
2014-01-31,6 ,21,1347
2014-01-31,6 ,22,1031
2014-01-31,6 ,23,809
2014-02-01,7 ,0,616
2014-02-01,7 ,1,508
2014-02-01,7 ,2,335
2014-02-01,7 ,3,315
2014-02-01,7 ,4,178
2014-02-01,7 ,5,163
2014-02-01,7 ,6,197
2014-02-01,7 ,7,362
2014-02-01,7 ,8,592
2014-02-01,7 ,9,809
2014-02-01,7 ,10,1300
2014-02-01,7 ,11,1698
2014-02-01,7 ,12,1948
2014-02-01,7 ,13,2062
2014-02-01,7 ,14,2096
2014-02-01,7 ,15,2149
2014-02-01,7 ,16,2198
2014-02-01,7 ,17,2167
2014-02-01,7 ,18,2043
2014-02-01,7 ,19,1983
2014-02-01,7 ,20,1709
2014-02-01,7 ,21,1507
2014-02-01,7 ,22,1037
2014-02-01,7 ,23,678
2014-02-02,1 ,0,580
2014-02-02,1 ,1,352
2014-02-02,1 ,2,367
2014-02-02,1 ,3,223
2014-02-02,1 ,4,157
2014-02-02,1 ,5,171
2014-02-02,1 ,6,213
2014-02-02,1 ,7,362
2014-02-02,1 ,8,603
2014-02-02,1 ,9,843
2014-02-02,1 ,10,1226
2014-02-02,1 ,11,1355
2014-02-02,1 ,12,1610
